pin,slack
Quad_1/QuadXface_2/QuadDataOut_1[8]:Y,12706
DiscID_1/DiscExpID_1/ExpansionID1_1[11]:CLK,-12123
DiscID_1/DiscExpID_1/ExpansionID1_1[11]:D,15310
DiscID_1/DiscExpID_1/ExpansionID1_1[11]:EN,13010
DiscID_1/DiscExpID_1/ExpansionID1_1[11]:Q,-12123
Analog_1/StateMach_1/State[5]:CLK,14207
Analog_1/StateMach_1/State[5]:D,9840
Analog_1/StateMach_1/State[5]:Q,14207
Quad_1/QuadXface_5/RisingLatch0_1:A,14317
Quad_1/QuadXface_5/RisingLatch0_1:B,14215
Quad_1/QuadXface_5/RisingLatch0_1:Y,14215
Quad_1/QuadXface_4/LatchedDec_RNIBFV21:B,10706
Quad_1/QuadXface_4/LatchedDec_RNIBFV21:C,13782
Quad_1/QuadXface_4/LatchedDec_RNIBFV21:D,13355
Quad_1/QuadXface_4/LatchedDec_RNIBFV21:FCO,10706
Quad_1/QuadXface_4/un41_decrement_0_x2:A,-2509
Quad_1/QuadXface_4/un41_decrement_0_x2:B,-3714
Quad_1/QuadXface_4/un41_decrement_0_x2:C,-2645
Quad_1/QuadXface_4/un41_decrement_0_x2:Y,-3714
Decode_1/un1_discoverIdDataOut_iv_1[0]:A,12858
Decode_1/un1_discoverIdDataOut_iv_1[0]:B,
Decode_1/un1_discoverIdDataOut_iv_1[0]:C,3652
Decode_1/un1_discoverIdDataOut_iv_1[0]:D,
Decode_1/un1_discoverIdDataOut_iv_1[0]:Y,3652
DIO8_1/D8InputReg0_Z[4]:CLK,
DIO8_1/D8InputReg0_Z[4]:D,15303
DIO8_1/D8InputReg0_Z[4]:EN,12603
DIO8_1/D8InputReg0_Z[4]:Q,
Analog_1/Ser2Par_1/S2P_Data_cZ[11]:A,14176
Analog_1/Ser2Par_1/S2P_Data_cZ[11]:B,10556
Analog_1/Ser2Par_1/S2P_Data_cZ[11]:C,11366
Analog_1/Ser2Par_1/S2P_Data_cZ[11]:Y,10556
Quad_1/QuadXface_6/QuadDataOut_1[9]:A,15063
Quad_1/QuadXface_6/QuadDataOut_1[9]:B,14959
Quad_1/QuadXface_6/QuadDataOut_1[9]:C,13876
Quad_1/QuadXface_6/QuadDataOut_1[9]:D,13620
Quad_1/QuadXface_6/QuadDataOut_1[9]:Y,13620
Quad_1/QuadXface_6/QB[1]:CLK,-3725
Quad_1/QuadXface_6/QB[1]:D,15334
Quad_1/QuadXface_6/QB[1]:Q,-3725
Decode_1/un1_data_1:A,12847
Decode_1/un1_data_1:B,8451
Decode_1/un1_data_1:C,
Decode_1/un1_data_1:D,13687
Decode_1/un1_data_1:Y,8451
CtrlOut_1/DataBuffer[4]:ALn,-4495
CtrlOut_1/DataBuffer[4]:CLK,15612
CtrlOut_1/DataBuffer[4]:D,
CtrlOut_1/DataBuffer[4]:EN,
CtrlOut_1/DataBuffer[4]:Q,15612
MDTTop_1/un1_discoverIdDataOut_0_iv_4[5]:A,12912
MDTTop_1/un1_discoverIdDataOut_0_iv_4[5]:B,14019
MDTTop_1/un1_discoverIdDataOut_0_iv_4[5]:C,
MDTTop_1/un1_discoverIdDataOut_0_iv_4[5]:D,9994
MDTTop_1/un1_discoverIdDataOut_0_iv_4[5]:Y,9994
DiscID_1/discoverIdDataOut_1_1[10]:A,13990
DiscID_1/discoverIdDataOut_1_1[10]:B,13862
DiscID_1/discoverIdDataOut_1_1[10]:C,10061
DiscID_1/discoverIdDataOut_1_1[10]:D,
DiscID_1/discoverIdDataOut_1_1[10]:Y,10061
LatCnt_1/LatencyCounter_cry[24]:B,5640
LatCnt_1/LatencyCounter_cry[24]:FCI,5176
LatCnt_1/LatencyCounter_cry[24]:FCO,5176
LatCnt_1/LatencyCounter_cry[24]:S,5309
MDTTop_2/LeadingCountDecode_1_0_.m3:A,4763
MDTTop_2/LeadingCountDecode_1_0_.m3:B,4688
MDTTop_2/LeadingCountDecode_1_0_.m3:Y,4688
ExpModLED_1/m94_0_a2_0:A,11625
ExpModLED_1/m94_0_a2_0:B,11750
ExpModLED_1/m94_0_a2_0:Y,11625
Analog_1/StateMach_1/Converting:CLK,11884
Analog_1/StateMach_1/Converting:EN,11088
Analog_1/StateMach_1/Converting:Q,11884
Analog_1/StateMach_1/Converting:SLn,11847
MDTTop_1/un1_discoverIdDataOut_0_iv_5_RNO[26]:A,16189
MDTTop_1/un1_discoverIdDataOut_0_iv_5_RNO[26]:B,
MDTTop_1/un1_discoverIdDataOut_0_iv_5_RNO[26]:C,
MDTTop_1/un1_discoverIdDataOut_0_iv_5_RNO[26]:D,5886
MDTTop_1/un1_discoverIdDataOut_0_iv_5_RNO[26]:Y,5886
Analog_1/Ser2Par_1/S2P_M3Ch1_Data[4]:CLK,13250
Analog_1/Ser2Par_1/S2P_M3Ch1_Data[4]:D,15326
Analog_1/Ser2Par_1/S2P_M3Ch1_Data[4]:EN,7490
Analog_1/Ser2Par_1/S2P_M3Ch1_Data[4]:Q,13250
Analog_1/Ser2Par_1/S2P_M3Ch1_Data[4]:SLn,9714
SSITop_2/DelayCounter[9]:CLK,11544
SSITop_2/DelayCounter[9]:D,13927
SSITop_2/DelayCounter[9]:EN,9833
SSITop_2/DelayCounter[9]:Q,11544
SSITop_2/DelayCounter[9]:SLn,10722
SerMemInt_1/ShiftEnable_RNO:A,14248
SerMemInt_1/ShiftEnable_RNO:B,14199
SerMemInt_1/ShiftEnable_RNO:C,9405
SerMemInt_1/ShiftEnable_RNO:D,12895
SerMemInt_1/ShiftEnable_RNO:Y,9405
MDTTop_1/un1_discoverIdDataOut_0_iv_5[9]:A,15969
MDTTop_1/un1_discoverIdDataOut_0_iv_5[9]:B,
MDTTop_1/un1_discoverIdDataOut_0_iv_5[9]:C,7913
MDTTop_1/un1_discoverIdDataOut_0_iv_5[9]:D,9113
MDTTop_1/un1_discoverIdDataOut_0_iv_5[9]:Y,7913
Quad_1/QuadXface_2/QuadDataOut_1_m2_2[14]:A,12402
Quad_1/QuadXface_2/QuadDataOut_1_m2_2[14]:B,12531
Quad_1/QuadXface_2/QuadDataOut_1_m2_2[14]:C,
Quad_1/QuadXface_2/QuadDataOut_1_m2_2[14]:D,
Quad_1/QuadXface_2/QuadDataOut_1_m2_2[14]:Y,12402
QA0_Home_ibuf/U0/U_IOPAD:PAD,
QA0_Home_ibuf/U0/U_IOPAD:Y,
M_AX0_0_obuft/U0/U_IOOUTFF:A,
M_AX0_0_obuft/U0/U_IOOUTFF:Y,
MDTTop_1/Delay[11]:CLK,3478
MDTTop_1/Delay[11]:D,5556
MDTTop_1/Delay[11]:EN,4696
MDTTop_1/Delay[11]:Q,3478
MDTTop_1/Delay[11]:SLn,6387
DIO8_1/IntDout_3_1_0_wmux_0[14]:A,10395
DIO8_1/IntDout_3_1_0_wmux_0[14]:B,11442
DIO8_1/IntDout_3_1_0_wmux_0[14]:C,13244
DIO8_1/IntDout_3_1_0_wmux_0[14]:D,12970
DIO8_1/IntDout_3_1_0_wmux_0[14]:FCI,
DIO8_1/IntDout_3_1_0_wmux_0[14]:Y,10395
Quad_1/QuadXface_2/QuadCount_RNO[15]:B,9830
Quad_1/QuadXface_2/QuadCount_RNO[15]:C,13941
Quad_1/QuadXface_2/QuadCount_RNO[15]:FCI,10688
Quad_1/QuadXface_2/QuadCount_RNO[15]:S,9830
DiscID_1/discoverIdDataOut_1_m2[6]:A,12711
DiscID_1/discoverIdDataOut_1_m2[6]:B,12546
DiscID_1/discoverIdDataOut_1_m2[6]:C,9941
DiscID_1/discoverIdDataOut_1_m2[6]:D,
DiscID_1/discoverIdDataOut_1_m2[6]:Y,9941
DiscID_1/discoverIdDataOut_1_m2_2[13]:A,11657
DiscID_1/discoverIdDataOut_1_m2_2[13]:B,9941
DiscID_1/discoverIdDataOut_1_m2_2[13]:C,
DiscID_1/discoverIdDataOut_1_m2_2[13]:D,
DiscID_1/discoverIdDataOut_1_m2_2[13]:Y,9941
SSITop_2/CycleCounter_cry[4]:B,12812
SSITop_2/CycleCounter_cry[4]:C,13972
SSITop_2/CycleCounter_cry[4]:FCI,12768
SSITop_2/CycleCounter_cry[4]:FCO,12768
SSITop_2/CycleCounter_cry[4]:S,12785
SerMemInt_1/intModuleAddress_RNI7RVI[2]:A,-889
SerMemInt_1/intModuleAddress_RNI7RVI[2]:B,-953
SerMemInt_1/intModuleAddress_RNI7RVI[2]:C,-1050
SerMemInt_1/intModuleAddress_RNI7RVI[2]:D,6873
SerMemInt_1/intModuleAddress_RNI7RVI[2]:Y,-1050
Quad_1/QuadXface_6/clrLearnModeDone_r:A,11192
Quad_1/QuadXface_6/clrLearnModeDone_r:B,14227
Quad_1/QuadXface_6/clrLearnModeDone_r:Y,11192
MDTTop_2/MDTPosition_1_cry_8:B,5564
MDTTop_2/MDTPosition_1_cry_8:FCI,5442
MDTTop_2/MDTPosition_1_cry_8:FCO,5442
MDTTop_2/MDTPosition_1_cry_8:S,5642
DATA_iobuf[31]/U0/U_IOPAD:D,2415
DATA_iobuf[31]/U0/U_IOPAD:E,4878
DATA_iobuf[31]/U0/U_IOPAD:PAD,2415
DATA_iobuf[31]/U0/U_IOPAD:Y,
Quad_1/QuadXface_4/AccumOverflow:CLK,
Quad_1/QuadXface_4/AccumOverflow:D,15334
Quad_1/QuadXface_4/AccumOverflow:EN,12103
Quad_1/QuadXface_4/AccumOverflow:Q,
ExpModLED_1/ShiftRegister2[3]:CLK,15334
ExpModLED_1/ShiftRegister2[3]:D,9180
ExpModLED_1/ShiftRegister2[3]:EN,12691
ExpModLED_1/ShiftRegister2[3]:Q,15334
Analog_1/DataBuf_1/RAM_1/ram_ram_0_1/CFG_7:IPC,
DIO8_1/un1_OutputShiftRegister_0_sqmuxa_0:A,12868
DIO8_1/un1_OutputShiftRegister_0_sqmuxa_0:B,9791
DIO8_1/un1_OutputShiftRegister_0_sqmuxa_0:C,7378
DIO8_1/un1_OutputShiftRegister_0_sqmuxa_0:D,6623
DIO8_1/un1_OutputShiftRegister_0_sqmuxa_0:Y,6623
Quad_1/QuadXface_2/LatchedInc:CLK,11919
Quad_1/QuadXface_2/LatchedInc:D,-3622
Quad_1/QuadXface_2/LatchedInc:Q,11919
Decode_1/un1_discoverIdDataOut_iv_13[0]:A,15242
Decode_1/un1_discoverIdDataOut_iv_13[0]:B,
Decode_1/un1_discoverIdDataOut_iv_13[0]:C,3852
Decode_1/un1_discoverIdDataOut_iv_13[0]:D,11484
Decode_1/un1_discoverIdDataOut_iv_13[0]:Y,3852
DATA_iobuf[12]/U0/U_IOENFF:A,4878
DATA_iobuf[12]/U0/U_IOENFF:Y,4878
SerMemInt_1/SerialDataOutputMux[7]:A,14263
SerMemInt_1/SerialDataOutputMux[7]:B,6221
SerMemInt_1/SerialDataOutputMux[7]:C,11961
SerMemInt_1/SerialDataOutputMux[7]:D,12802
SerMemInt_1/SerialDataOutputMux[7]:Y,6221
ExpSigRoute_3/un1_expdata_0:A,
ExpSigRoute_3/un1_expdata_0:B,
ExpSigRoute_3/un1_expdata_0:C,
ExpSigRoute_3/un1_expdata_0:D,
ExpSigRoute_3/un1_expdata_0:Y,
Quad_1/QuadXface_4/QuadLatch[0]:CLK,
Quad_1/QuadXface_4/QuadLatch[0]:D,15287
Quad_1/QuadXface_4/QuadLatch[0]:EN,12103
Quad_1/QuadXface_4/QuadLatch[0]:Q,
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_14:A,10881
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_14:B,10790
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_14:C,12080
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_14:Y,10790
Quad_1/QuadXface_4/QB[0]:CLK,15334
Quad_1/QuadXface_4/QB[0]:D,9516
Quad_1/QuadXface_4/QB[0]:Q,15334
Quad_1/QuadXface_6/QuadDataOut_1s2_0:A,12440
Quad_1/QuadXface_6/QuadDataOut_1s2_0:B,12288
Quad_1/QuadXface_6/QuadDataOut_1s2_0:Y,12288
LatCnt_1/LatencyCounter_RNO[0]:A,5930
LatCnt_1/LatencyCounter_RNO[0]:Y,5930
DiscID_1/DiscExpID_1/State_srsts_i_0_a2[1]:A,13242
DiscID_1/DiscExpID_1/State_srsts_i_0_a2[1]:B,12705
DiscID_1/DiscExpID_1/State_srsts_i_0_a2[1]:C,13095
DiscID_1/DiscExpID_1/State_srsts_i_0_a2[1]:Y,12705
Quad_1/QuadXface_6/Latch1Reg[11]:CLK,
Quad_1/QuadXface_6/Latch1Reg[11]:D,15287
Quad_1/QuadXface_6/Latch1Reg[11]:EN,13858
Quad_1/QuadXface_6/Latch1Reg[11]:Q,
WDT_1/PUReg[8]:CLK,11892
WDT_1/PUReg[8]:D,-3956
WDT_1/PUReg[8]:Q,11892
MDTTop_2/Delay_s[11]:B,5728
MDTTop_2/Delay_s[11]:FCI,5556
MDTTop_2/Delay_s[11]:S,5556
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:A,14066
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:B,10878
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:C,13846
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:FCI,10688
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:FCO,10688
Quad_1/QuadXface_2/QuadCount_RNIR8D1C[10]:S,10783
Analog_1/un18_anlgdata_0_a2_1:A,6691
Analog_1/un18_anlgdata_0_a2_1:B,6575
Analog_1/un18_anlgdata_0_a2_1:Y,6575
SSITop_2/ShiftOn:CLK,12871
SSITop_2/ShiftOn:D,13104
SSITop_2/ShiftOn:Q,12871
CtrlIO_1/ShiftOutRegister[6]:CLK,14065
CtrlIO_1/ShiftOutRegister[6]:D,10994
CtrlIO_1/ShiftOutRegister[6]:EN,10927
CtrlIO_1/ShiftOutRegister[6]:Q,14065
Analog_1/DataBuf_1/RAM_2/ram_ram_0_0/CFG_5:IPC,
Quad_1/QuadXface_1/Latch0Reg[15]:CLK,
Quad_1/QuadXface_1/Latch0Reg[15]:D,15287
Quad_1/QuadXface_1/Latch0Reg[15]:EN,13858
Quad_1/QuadXface_1/Latch0Reg[15]:Q,
Analog_1/Ser2Par_1/S2P_M2Ch1_Data[5]:CLK,11751
Analog_1/Ser2Par_1/S2P_M2Ch1_Data[5]:D,15326
Analog_1/Ser2Par_1/S2P_M2Ch1_Data[5]:EN,7490
Analog_1/Ser2Par_1/S2P_M2Ch1_Data[5]:Q,11751
Analog_1/Ser2Par_1/S2P_M2Ch1_Data[5]:SLn,9714
MDTTop_1/un1_discoverIdDataOut_0_iv_6[5]:A,9339
MDTTop_1/un1_discoverIdDataOut_0_iv_6[5]:B,14044
MDTTop_1/un1_discoverIdDataOut_0_iv_6[5]:C,12478
MDTTop_1/un1_discoverIdDataOut_0_iv_6[5]:D,
MDTTop_1/un1_discoverIdDataOut_0_iv_6[5]:Y,9339
MDTTop_1/Delay[5]:CLK,3411
MDTTop_1/Delay[5]:D,5670
MDTTop_1/Delay[5]:EN,4696
MDTTop_1/Delay[5]:Q,3411
MDTTop_1/Delay[5]:SLn,6387
Quad_1/QuadXface_6/QH[0]:CLK,15334
Quad_1/QuadXface_6/QH[0]:D,
Quad_1/QuadXface_6/QH[0]:Q,15334
Quad_1/QuadXface_1/QuadDataOut_1_m2[13]:A,14443
Quad_1/QuadXface_1/QuadDataOut_1_m2[13]:B,13315
Quad_1/QuadXface_1/QuadDataOut_1_m2[13]:C,
Quad_1/QuadXface_1/QuadDataOut_1_m2[13]:D,14538
Quad_1/QuadXface_1/QuadDataOut_1_m2[13]:Y,13315
DATA_iobuf[1]/U0/U_IOPAD:D,3705
DATA_iobuf[1]/U0/U_IOPAD:E,4878
DATA_iobuf[1]/U0/U_IOPAD:PAD,3705
DATA_iobuf[1]/U0/U_IOPAD:Y,
DIO8_1/D8OutputReg1[9]:ALn,-4495
DIO8_1/D8OutputReg1[9]:CLK,11880
DIO8_1/D8OutputReg1[9]:D,
DIO8_1/D8OutputReg1[9]:EN,-8821
DIO8_1/D8OutputReg1[9]:Q,11880
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:A,10768
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:B,10712
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:C,11045
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:D,10740
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:FCO,
Analog_1/Ser2Par_1/S2P_Data_6_1_0_wmux[9]:Y,10712
Decode_1/un1_discoverIdDataOut_iv_11[0]:A,12882
Decode_1/un1_discoverIdDataOut_iv_11[0]:B,
Decode_1/un1_discoverIdDataOut_iv_11[0]:C,3782
Decode_1/un1_discoverIdDataOut_iv_11[0]:D,7175
Decode_1/un1_discoverIdDataOut_iv_11[0]:Y,3782
CtrlOut_2/Count[2]:CLK,12986
CtrlOut_2/Count[2]:D,10020
CtrlOut_2/Count[2]:EN,9904
CtrlOut_2/Count[2]:Q,12986
Exp0Data_iobuf[2]/U0/U_IOINFF:A,
Exp0Data_iobuf[2]/U0/U_IOINFF:Y,
DIO8_1/D8OutputReg0[4]:ALn,-4495
DIO8_1/D8OutputReg0[4]:CLK,12185
DIO8_1/D8OutputReg0[4]:D,
DIO8_1/D8OutputReg0[4]:EN,-9145
DIO8_1/D8OutputReg0[4]:Q,12185
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:A,10439
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:B,12898
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:C,
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:D,
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:FCI,
Quad_1/QuadXface_3/QuadDataOut_1_1_0_wmux_0[5]:Y,10439
ExpSigRoute_3/un1_expa_clk_u_0_a2_0[5]:A,
ExpSigRoute_3/un1_expa_clk_u_0_a2_0[5]:B,
ExpSigRoute_3/un1_expa_clk_u_0_a2_0[5]:C,
ExpSigRoute_3/un1_expa_clk_u_0_a2_0[5]:Y,
Quad_1/QuadXface_5/QA[2]:CLK,-3634
Quad_1/QuadXface_5/QA[2]:D,15310
Quad_1/QuadXface_5/QA[2]:Q,-3634
WD_TICKLE_ibuf/U0/U_IOPAD:PAD,
WD_TICKLE_ibuf/U0/U_IOPAD:Y,
SSITop_2/DataLength[2]:CLK,14498
SSITop_2/DataLength[2]:D,
SSITop_2/DataLength[2]:EN,-7390
SSITop_2/DataLength[2]:Q,14498
MDTTop_1/FallingA[2]:CLK,7001
MDTTop_1/FallingA[2]:D,7001
MDTTop_1/FallingA[2]:Q,7001
DiscID_1/DiscCtrlID_1/ControlID_1[1]:ALn,13503
DiscID_1/DiscCtrlID_1/ControlID_1[1]:CLK,15326
DiscID_1/DiscCtrlID_1/ControlID_1[1]:D,15326
DiscID_1/DiscCtrlID_1/ControlID_1[1]:EN,13595
DiscID_1/DiscCtrlID_1/ControlID_1[1]:Q,15326
DATA_iobuf[23]/U0/U_IOPAD:D,2550
DATA_iobuf[23]/U0/U_IOPAD:E,4878
DATA_iobuf[23]/U0/U_IOPAD:PAD,2550
DATA_iobuf[23]/U0/U_IOPAD:Y,
Quad_1/QuadXface_6/QuadDataOut_1_m2s2_0_a2:A,12650
Quad_1/QuadXface_6/QuadDataOut_1_m2s2_0_a2:B,11558
Quad_1/QuadXface_6/QuadDataOut_1_m2s2_0_a2:C,
Quad_1/QuadXface_6/QuadDataOut_1_m2s2_0_a2:D,13571
Quad_1/QuadXface_6/QuadDataOut_1_m2s2_0_a2:Y,11558
Quad_1/QuadXface_2/QuadCount[0]:CLK,10574
Quad_1/QuadXface_2/QuadCount[0]:D,10936
Quad_1/QuadXface_2/QuadCount[0]:Q,10574
Quad_1/QuadXface_2/QuadCount[0]:SLn,11847
ExpModLED_1/m44_0_a2:A,14302
ExpModLED_1/m44_0_a2:B,11082
ExpModLED_1/m44_0_a2:C,11692
ExpModLED_1/m44_0_a2:Y,11082
Decode_1/exp0quadread_i_o2:A,-12358
Decode_1/exp0quadread_i_o2:B,-12399
Decode_1/exp0quadread_i_o2:Y,-12399
SerMemInt_1/StateMachine_ns_i_i[0]:A,8639
SerMemInt_1/StateMachine_ns_i_i[0]:B,-895
SerMemInt_1/StateMachine_ns_i_i[0]:C,13033
SerMemInt_1/StateMachine_ns_i_i[0]:D,9419
SerMemInt_1/StateMachine_ns_i_i[0]:Y,-895
Quad_1/QuadXface_1/QuadDataOut_1_2[25]:A,15085
Quad_1/QuadXface_1/QuadDataOut_1_2[25]:B,14858
Quad_1/QuadXface_1/QuadDataOut_1_2[25]:C,12494
Quad_1/QuadXface_1/QuadDataOut_1_2[25]:D,
Quad_1/QuadXface_1/QuadDataOut_1_2[25]:Y,12494
MDTTop_1/un1_discoverIdDataOut_0_iv_11_RNO[5]:A,16375
MDTTop_1/un1_discoverIdDataOut_0_iv_11_RNO[5]:B,
MDTTop_1/un1_discoverIdDataOut_0_iv_11_RNO[5]:C,
MDTTop_1/un1_discoverIdDataOut_0_iv_11_RNO[5]:D,8274
MDTTop_1/un1_discoverIdDataOut_0_iv_11_RNO[5]:Y,8274
ExpSigRoute_4/N_839_i:A,9570
ExpSigRoute_4/N_839_i:B,
ExpSigRoute_4/N_839_i:Y,9570
DIO8_1/IntDout_3_1_0_wmux[17]:A,10827
DIO8_1/IntDout_3_1_0_wmux[17]:B,10501
DIO8_1/IntDout_3_1_0_wmux[17]:C,12291
DIO8_1/IntDout_3_1_0_wmux[17]:D,11986
DIO8_1/IntDout_3_1_0_wmux[17]:FCO,
DIO8_1/IntDout_3_1_0_wmux[17]:Y,10501
WDT_1/accesskey_0_a2:A,
WDT_1/accesskey_0_a2:B,10878
WDT_1/accesskey_0_a2:C,
WDT_1/accesskey_0_a2:Y,10878
ExpSigRoute_2/un1_serialmemorydataout_iv_0_a2_1[1]:A,
ExpSigRoute_2/un1_serialmemorydataout_iv_0_a2_1[1]:B,
ExpSigRoute_2/un1_serialmemorydataout_iv_0_a2_1[1]:C,
ExpSigRoute_2/un1_serialmemorydataout_iv_0_a2_1[1]:Y,
CtrlIO_1/ShiftOutRegister_3_0[6]:A,15650
CtrlIO_1/ShiftOutRegister_3_0[6]:B,15540
CtrlIO_1/ShiftOutRegister_3_0[6]:C,10994
CtrlIO_1/ShiftOutRegister_3_0[6]:D,14065
CtrlIO_1/ShiftOutRegister_3_0[6]:Y,10994
SSITop_2/DelayCounter[7]:CLK,11527
SSITop_2/DelayCounter[7]:D,13965
SSITop_2/DelayCounter[7]:EN,9833
SSITop_2/DelayCounter[7]:Q,11527
SSITop_2/DelayCounter[7]:SLn,10722
Quad_1/QuadXface_2/QuadDataOut_1_5:A,
Quad_1/QuadXface_2/QuadDataOut_1_5:B,14081
Quad_1/QuadXface_2/QuadDataOut_1_5:C,15210
Quad_1/QuadXface_2/QuadDataOut_1_5:Y,14081
SerMemInt_1/StateMachine[11]:CLK,10619
SerMemInt_1/StateMachine[11]:D,9384
SerMemInt_1/StateMachine[11]:EN,12028
SerMemInt_1/StateMachine[11]:Q,10619
SerMemInt_1/StateMachine[11]:SLn,12887
WDT_1/WD_RST_SHIFT_RNIKU78[7]:A,
WDT_1/WD_RST_SHIFT_RNIKU78[7]:B,-3978
WDT_1/WD_RST_SHIFT_RNIKU78[7]:Y,-3978
SerMemInt_1/StateMachine_i[12]:CLK,9551
SerMemInt_1/StateMachine_i[12]:D,-895
SerMemInt_1/StateMachine_i[12]:Q,9551
DIO8_1/D8OutputReg0[24]:ALn,-4495
DIO8_1/D8OutputReg0[24]:CLK,12291
DIO8_1/D8OutputReg0[24]:D,
DIO8_1/D8OutputReg0[24]:EN,-9145
DIO8_1/D8OutputReg0[24]:Q,12291
Analog_1/StateMach_1/InterConversionDelayEN_RNI4UO41:A,9726
Analog_1/StateMach_1/InterConversionDelayEN_RNI4UO41:B,14052
Analog_1/StateMach_1/InterConversionDelayEN_RNI4UO41:C,13489
Analog_1/StateMach_1/InterConversionDelayEN_RNI4UO41:Y,9726
DIO8_1/D8InputReg2[3]:CLK,
DIO8_1/D8InputReg2[3]:D,15303
DIO8_1/D8InputReg2[3]:EN,12602
DIO8_1/D8InputReg2[3]:Q,
Quad_1/QuadXface_3/QuadDataOut_1_m2[6]:A,14796
Quad_1/QuadXface_3/QuadDataOut_1_m2[6]:B,14655
Quad_1/QuadXface_3/QuadDataOut_1_m2[6]:C,13546
Quad_1/QuadXface_3/QuadDataOut_1_m2[6]:D,
Quad_1/QuadXface_3/QuadDataOut_1_m2[6]:Y,13546
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:A,10730
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:B,10646
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:C,10994
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:D,10689
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:FCO,
Analog_1/Ser2Par_1/S2P_Data_5_1_0_wmux[9]:Y,10646
Quad_1/QuadXface_3/HomeReg[15]:CLK,
Quad_1/QuadXface_3/HomeReg[15]:D,15287
Quad_1/QuadXface_3/HomeReg[15]:EN,15120
Quad_1/QuadXface_3/HomeReg[15]:Q,
ExpModLED_1/m22_i_a2_1:A,12978
ExpModLED_1/m22_i_a2_1:B,12920
ExpModLED_1/m22_i_a2_1:C,11268
ExpModLED_1/m22_i_a2_1:Y,11268
SSITop_2/un1_enable_3:A,14603
SSITop_2/un1_enable_3:B,14547
SSITop_2/un1_enable_3:C,13118
SSITop_2/un1_enable_3:D,13004
SSITop_2/un1_enable_3:Y,13004
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2_2[1]:A,14485
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2_2[1]:B,14402
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2_2[1]:C,11669
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2_2[1]:D,9180
ExpModLED_1/ShiftRegister1_3_i_m2_i_m2_2[1]:Y,9180
DIO8_1/D8OutputReg1[1]:ALn,-4495
DIO8_1/D8OutputReg1[1]:CLK,11880
DIO8_1/D8OutputReg1[1]:D,
DIO8_1/D8OutputReg1[1]:EN,-8821
DIO8_1/D8OutputReg1[1]:Q,11880
DIO8_1/IntDout_3_1_0_wmux_0[28]:A,11502
DIO8_1/IntDout_3_1_0_wmux_0[28]:B,12549
DIO8_1/IntDout_3_1_0_wmux_0[28]:C,14351
DIO8_1/IntDout_3_1_0_wmux_0[28]:D,14096
DIO8_1/IntDout_3_1_0_wmux_0[28]:FCI,
DIO8_1/IntDout_3_1_0_wmux_0[28]:Y,11502
WDT_1/WDTCounter_cry[9]:B,13708
WDT_1/WDTCounter_cry[9]:C,13829
WDT_1/WDTCounter_cry[9]:D,14854
WDT_1/WDTCounter_cry[9]:FCI,13518
WDT_1/WDTCounter_cry[9]:FCO,13518
WDT_1/WDTCounter_cry[9]:S,13746
Quad_1/QuadXface_4/QuadCount[15]:CLK,9896
Quad_1/QuadXface_4/QuadCount[15]:D,9830
Quad_1/QuadXface_4/QuadCount[15]:Q,9896
Quad_1/QuadXface_4/QuadCount[15]:SLn,11847
ExtADDR_ibuf[7]/U0/U_IOINFF:A,1406
ExtADDR_ibuf[7]/U0/U_IOINFF:Y,1406
DIO8_1/InputShiftRegister[10]:CLK,15303
DIO8_1/InputShiftRegister[10]:D,15303
DIO8_1/InputShiftRegister[10]:EN,9791
DIO8_1/InputShiftRegister[10]:Q,15303
DATA_iobuf[6]/U0/U_IOOUTFF:A,3797
